Road Name,Carriageway Start Name,Carriageway End Name,Description (location of traffic count),Direction,Count Start Date,5 Day ADT,7 Day ADT,Saturday Volume,Sunday Volume,AM Peak Volume,AM Peak Hour,Mid Peak Volume,Mid Peak Hour,PM Peak Volume,PM Peak Hour,Car,LCV,MCV,HCV-I,HCV-II,HCV Total
RATHGAR RD,LARISSA AVE,HARRINGTON RD,E1744593  N5919409,Both,2018/3/1,8991,8454,7764,6457,855,,606,,767,,97%,0%,2%,1%,0%,3%
REIHANA ST,PAORA ST,WATENE CRES (MANHOLE LHS),E1762104  N5919867,Both,2018/4/4,2413,2396,2372,2333,393,,89,,71,,94%,1%,4%,1%,0%,5%
REMUERA RD (CWCE),COTTER AVE,ASCOT AVE,E1760611  N5916805,Both,2018/4/4,19740,18351,16170,13583,1741,,1453,,1688,,95%,1%,3%,1%,0%,4%
REMUERA RD (CWCE),STONEYROYD GARDENS,WAIATARUA RD,E1762401  N5916991,Both,2018/4/3,21732,21963,22927,22157,2077,,836,,771,,95%,0%,4%,1%,0%,5%
RIDDELL RD,PEACOCK ST,ABINGDON PL,E1767116  N5920163,Both,2018/3/9,1792,1816,1869,1882,182,,193,,180,,92%,0%,4%,4%,0%,8%
SANDRINGHAM RD,KITCHENER RD,LAMBETH RD,E1754719  N5915651,Both,2018/4/4,18325,17968,17692,16459,1250,,1368,,1412,,96%,0%,2%,2%,0%,4%
SHORE RD,VICTORIA AVE (LHS),ORAKEI RD RAB,E1760546  N5918676,Both,2018/3/9,17092,15938,14317,11789,1484,,1409,,1665,,98%,0%,1%,1%,0%,2%
ST ANDREWS RD,ABERFOYLE ST,PENCARROW RD,E1757409  N5915909,Both,2018/3/9,7220,6915,7124,5179,718,,638,,725,,97%,0%,2%,1%,0%,3%
ST HELIERS BAY RD,PARKSIDE ST,WOODSIDE CRES,E1765832  N5919316,Both,2018/3/9,8121,7872,7915,6582,678,,691,,706,,96%,0%,3%,1%,0%,4%
STONEFIELDS AVE,MORRIN RD RAB,COLLEGE RD,E1764003  N5915773,Both,2018/3/9,6201,5666,4206,4455,752,,538,,573,,96%,0%,3%,1%,0%,4%
TAMAKI DR,BRIDGE (2ND ABUTMENT),BRIDGE (1ST ABUTMENT),E1761135  N5919993,Both,2018/3/30,19104,18688,19585,15706,1803,,814,,592,,95%,1%,3%,1%,0%,4%
TAMAKI DR,NGAPIPI RD,OKAHU ST,E1761692  N5920046,Both,2018/3/9,19538,20172,23738,19776,1578,,1744,,1826,,96%,1%,2%,1%,0%,3%
TE ATATU RD,CELLARMANS ST,VINOGRAD DR,E1747235  N5920959,Both,2018/3/22,26858,25834,24254,22294,1848,,2112,,2090,,95%,1%,3%,1%,0%,4%
TE ATATU RD,CONISTON AVE,TIROROA AVE,E1746692  N5918106,Both,2018/3/12,25518,25016,25186,22335,1696,,1899,,2040,,96%,0%,3%,1%,0%,4%
TE ATATU RD,DIVICH AVE,MCLEOD RD,E1746748  N5917455,Both,2018/4/4,19875,19553,19408,18091,1047,,1521,,1668,,92%,1%,4%,2%,1%,7%
TE ATATU RD,JAEMONT AVE (SOUTH),JAEMONT AVE (NORTH),E1747032  N5919149,Both,2018/4/4,40599,39473,38616,34701,2266,,2937,,3167,,89%,2%,3%,5%,1%,9%
TE ATATU RD,KOKIRI ST,MILTONIA AVE,E1746723  N5917268,Both,2018/3/12,20102,19673,19733,17470,1459,,1569,,1695,,93%,1%,5%,1%,0%,6%
TE ATATU RD,OLD TE ATATU RD,GLORIA AVE RAB,E1747183  N5920389,Both,2018/3/22,27285,26360,25046,23049,1885,,2146,,2060,,94%,1%,3%,2%,0%,5%
TE ATATU RD,ROYAL VIEW RD,BRIDGE AVE (SUMP LHS),E1747209  N5919390,Both,2018/3/22,42172,40534,37868,35010,2568,,2958,,3165,,90%,2%,3%,4%,1%,8%
TE ATATU RD,WAKELING AVE,EDMONTON RD RAB,E1746819  N5918670,Both,2018/4/4,23360,23345,23996,22618,1111,,1803,,1943,,95%,1%,2%,2%,0%,4%
TE ATATU RD (SOUTHBOUND),TITOKI ST,MOTORWAY OBRIDGE (1ST ABUT),E1747227  N5919881,Both,2018/4/4,30106,29236,28972,25151,2258,,2489,,2356,,93%,2%,2%,3%,0%,5%
TRIANGLE RD (WAITAKERE),BELLRINGER RD,MCCLINTOCK RD,E1743425  N5922068,Both,2018/3/12,9017,8312,7027,6077,796,,585,,785,,95%,1%,3%,1%,0%,4%
TRIANGLE RD (WAITAKERE),WAIMUMU RD RAB,KEEGAN DR,E1744823  N5921218,Both,2018/3/12,11750,10766,8803,7812,742,,700,,1000,,95%,1%,2%,2%,0%,4%
VALE RD,CLIFF RD,CLARENDON RD,E1765855  N5920145,Both,2018/3/9,5585,5310,5005,4239,559,,416,,539,,95%,0%,4%,1%,0%,5%
VIEW RD (WAITAKERE),JAMES LAURIE ST RAB,LAVELLE RD,E1745788  N5916333,Both,2018/3/1,10247,9596,8599,7340,937,,787,,983,,94%,0%,5%,1%,0%,6%
CAMERON ST (PAPAKURA),EDMUND HILLARY AVE,ELIZABETH ST,E1877118  N5800687,Both,2018/3/21,1506,1378,1174,939,152,,116,,189,,95%,1%,4%,0%,0%,4%
CLEVEDON RD,MARNE RD RAB,KEENEY CRT,E1773321  N5896560,Both,2018/3/13,15106,14566,13855,12576,1205,,1363,,1338,,93%,2%,5%,0%,0%,5%
COSGRAVE RD,END K&C RHS,WALTERS RD,E1773780  N5898205,Both,2018/3/14,14683,14005,13127,11488,1168,,1280,,1423,,94%,1%,5%,0%,0%,5%
DOMINION RD (PAPAKURA),DENT PL,CROSKERY RD,E1774799  N5895718,Both,2018/3/13,6533,5923,4720,4077,556,,428,,634,,88%,1%,10%,1%,0%,11%
EAST ST (PUKEKOHE),WILLOWGRANGE PL,BELGIUM RD RAB,E1770314  N5881558,Both,2018/3/12,14585,13777,13129,10383,1167,,1258,,1371,,87%,2%,9%,1%,1%,11%
EDINBURGH ST (PUKEKOHE),STEMBRIDGE AVE,HALL ST,E1768980  N5881565,Both,2018/3/2,11723,10779,9626,7210,925,,939,,1024,,90%,1%,8%,1%,0%,9%
ELLIOT ST,RAY SMALL DR (LHS),START ISLAND RHS,E1772126  N5896117,Both,2018/3/13,15134,13946,12185,9766,1083,,1153,,1405,,93%,1%,5%,1%,0%,6%
FITZGERALD RD (DRURY),DRURY HILLS RD,QUARRY RD RAB,E1775454  N5889498,Both,2018/3/3,2470,2099,1277,1065,450,,163,,199,,81%,2%,9%,4%,4%,17%
GLENBROOK RD,SH 22,CHARLES RD,E1766499  N5887593,Both,2018/3/1,10179,9478,8507,6944,785,,822,,948,,85%,2%,10%,1%,2%,13%
GLENBROOK STATION RD,WAIUKU RD,SOMMERVILLE RD,E1759168  N5880062,Both,2018/3/1,1347,1266,1163,963,146,,115,,131,,85%,3%,8%,1%,3%,12%
GOLDING RD,ROYAL DOULTON DR,LOGAN RD,E1771333  N5880396,Both,2018/3/2,1510,1374,1143,920,190,,112,,184,,90%,3%,6%,1%,0%,7%
GREAT SOUTH RD (PAPAKURA),BUTTERWORTH AVE,ROSEHILL DR,E1772695  N5895019,Both,2018/3/13,21091,19910,17621,16296,2036,,1776,,1888,,92%,2%,5%,1%,0%,6%
GREAT SOUTH RD (PAPAKURA),GATLAND RD,MIRO ST,E1772706  N5893572,Both,2018/3/13,15336,14577,13050,12311,1590,,1501,,1532,,90%,2%,7%,1%,0%,8%
GREAT SOUTH RD (PAPAKURA),NELSON ST,CHAPEL ST,E1772789  N5895817,Both,2018/3/13,17192,16401,15221,13622,1342,,1468,,1457,,93%,1%,4%,1%,1%,6%
GREAT SOUTH RD (RAMARAMA),FLAY RD NORTH SIGN RHS,FLAY RD SOUTH POWERPOLE RHS,E1775108  N5884976,Both,2018/3/3,1588,1471,1209,1147,146,,133,,166,,86%,4%,8%,1%,1%,10%
GROVE RD (PAPAKURA),HILL CRES,OLD WAIROA RD (LHS),E1774122  N5897200,Both,2018/3/14,4527,4230,3805,3167,390,,380,,430,,93%,1%,6%,0%,0%,6%
GUN CLUB RD,HELVETIA RD,SCHLAEPFER RD,E1766894  N5882527,Both,2018/3/1,3426,3105,2640,1964,318,,278,,335,,88%,2%,8%,1%,1%,10%
HELVETIA RD,BIRDWOOD RD,GUN CLUB RD,E1767506  N5882192,Both,2018/3/1,6039,5516,4665,3751,510,,421,,594,,92%,2%,5%,0%,1%,6%
HUNUA RD (PAPAKURA),BOUNDARY RD,DOMINION RD,E1774961  N5894830,Both,2018/3/14,4631,3979,2738,1962,412,,373,,380,,73%,2%,18%,3%,4%,25%
HUNUA RD (PAPAKURA),SETTLEMENT RD,CALVERT ST,E1774059  N5895876,Both,2018/3/13,9048,7559,4577,3100,729,,714,,742,,79%,1%,14%,4%,2%,20%
KAWAKAWA BAY COAST RD-HC-WK1,TE PAPA RD,END,E1794338  N5909758,Both,2017/12/18,167,200,301,269,18,845,41,,39,,94%,2%,4%,0%,0%,4%
KAWAKAWA BAY COAST RD-HC-WK2,TE PAPA RD,END,E1794338  N5909758,Both,2017/12/25,451,465,531,467,30,845,83,,79,,96%,1%,3%,0%,0%,3%
KAWAKAWA BAY COAST RD-HC-WK3,TE PAPA RD,END,E1794338  N5909758,Both,2018/1/1,390,369,217,419,17,830,93,,110,,96%,1%,3%,0%,0%,3%
KAYES RD,PAERATA RD,RICHARDSON AVE,E1768753  N5882423,Both,2018/3/2,3153,3056,3121,2502,194,830,276,,298,,94%,1%,5%,0%,0%,5%
KIDD RD (KARAKA),LINWOOD RD,SPEED DERESTRICTION,E1762865  N5891035,Both,2018/2/7,986,905,760,646,105,830,80,,102,,85%,2%,12%,1%,0%,13%
KINGSEAT RD,PEARSON RD,GLENBROOK RD (LHS),E1760447  N5884707,Both,2018/2/9,2968,2690,2255,1734,290,830,237,,296,,89%,2%,9%,0%,0%,9%
MANUKAU RD (PUKEKOHE),HARRIS ST,CUSTOM ST,E1769406  N5880689,Both,2018/3/12,16005,15126,14340,11517,1273,830,1519,,1343,,90%,2%,7%,1%,0%,8%
MANUKAU RD (PUKEKOHE),WRIGHTSON WAY RAB,KITCHENER RD,E1769542  N5879854,Both,2018/3/2,12087,11380,10594,8634,985,830,1129,,1138,,89%,2%,8%,1%,0%,9%
MANUROA RD,PRINCESS ST,REDING ST,E1770790  N5899105,Both,2018/3/14,9903,9657,9878,8208,568,830,801,,841,,92%,1%,6%,1%,0%,7%
MASSEY AVE (PUKEKOHE),MANUKAU RD RAB,GRAHAM ST,E1769247  N5881030,Both,2018/3/12,12076,11481,11423,8567,1074,830,1150,,1081,,93%,1%,5%,1%,0%,6%
MILL RD (ARDMORE),POPES RD,AIRFIELD RD RAB,E1773046  N5900149,Both,2018/3/14,16219,15496,14710,12667,1148,830,1428,,1618,,92%,1%,6%,1%,0%,7%
MILL RD (BOMBAY),END PASSING LANE (POWERPOLE RHS),SPEED RESTRICTION,E1774636  N5881554,Both,2018/3/12,19173,18037,16821,13578,1501,830,1567,,1813,,85%,2%,11%,1%,1%,13%
MILL RD (BOMBAY),SH 1 OVERBRIDGE (2ND ABUTMENT),GREAT SOUTH RD RAB,E1776059  N5881963,Both,2018/3/11,12354,11664,10686,9189,917,830,1010,,1539,,86%,2%,8%,2%,2%,12%
MUIR RD (KARAKA),BLACKBRIDGE RD,LEWIS RD,E1767993  N5890737,Both,2018/2/7,638,555,364,330,85,,52,,78,,88%,2%,10%,0%,0%,10%
NELSON ST (PUKEKOHE),MANUKAU RD RAB,JOHN ST,E1769132  N5880085,Both,2018/3/2,8990,8287,7638,5425,737,,904,,965,,92%,2%,5%,1%,0%,6%
OPAHEKE RD (PAPAKURA) (SW),CALLIS AVE,TASMAN DR,E1773183  N5895109,Both,2018/3/13,6960,6434,5547,4692,806,,564,,656,,94%,1%,5%,0%,0%,5%
PAERATA RD,ADAMS DR,SH 22 (END SIGN),E1768743  N5882583,Both,2018/3/2,14586,13588,12567,9616,1066,,1084,,1243,,90%,2%,8%,0%,0%,8%
PAPAKURA-CLEVEDON RD (ARDMORE) (SW),DOMINION RD,HEARD RD,E1774922  N5897393,Both,2018/3/14,8021,7208,5272,5082,1082,,509,,831,,88%,2%,8%,1%,1%,10%
PORCHESTER RD (PAPAKURA),INGRAM ST (LIGHTPOLE RHS),SUBWAY RD,E1772690  N5896841,Both,2018/3/14,10815,10184,9383,7828,722,,930,,912,,92%,1%,6%,1%,0%,7%
PUKEKOHE EAST RD,BELGIUM RD RAB,ANSELMI RIDGE RD,E1770792  N5881517,Both,2018/3/12,16090,15112,14089,11247,1365,,1325,,1542,1745,89%,2%,7%,1%,1%,9%
PUKEKOHE EAST RD,END PASSING LANE (POWERPOLE RHS),RUNCIMAN RD,E1772707  N5881596,Both,2018/3/12,16089,15126,14100,11338,1373,,1328,,1570,1745,82%,2%,14%,1%,1%,16%
PUKEKOHE EAST RD,MORGAN RD (POWERPOLE LHS),HARRISVILLE RD,E1773562  N5881383,Both,2018/3/12,15094,14203,13233,10722,1221,,1253,,1450,1745,86%,2%,10%,1%,1%,12%
PUNI RD,WARD ST,SPEED DERESTRICTION,E1767453  N5879900,Both,2018/3/1,10315,9624,8717,7079,993,,841,,1033,1745,87%,2%,9%,1%,1%,11%
QUEEN ST (PUKEKOHE),LAWRIE AVE,HARRY MOORE PL,E1768655  N5880529,Both,2018/3/2,9396,8810,8167,6519,810,,827,,949,1745,95%,1%,4%,0%,0%,4%
QUEEN ST (PUKEKOHE),RUSSELL AVE,PARSOT PL,E1768630  N5880162,Both,2018/3/2,8942,8270,6914,6267,820,,791,,867,1745,95%,1%,4%,0%,0%,4%
RAILWAY ST WEST (BROADWAY- ONSLOW),AVERILL ST,WOOD ST,E1772972  N5896193,Both,2018/3/14,8225,7594,6716,5319,679,,706,,811,1745,88%,1%,9%,2%,0%,11%
REDOUBT RD (MANUKAU HEIGHTS) (SE),HILLTOP RD,MURPHYS RD,E1770297  N5904616,Both,2018/3/10,16048,15397,15161,12381,1325,,1397,,1523,1745,93%,1%,6%,0%,0%,6%
RUNCIMAN RD,PUKEKOHE EAST RD,RUTHERFORD RD,E1772973  N5882073,Both,2018/3/2,1549,1418,1151,1030,241,,170,,195,1745,87%,3%,9%,1%,0%,10%
SEDDON ST (PUKEKOHE),BLAIR AVE,ALBERT ST,E1768770  N5881679,Both,2018/3/2,7575,7079,6314,5369,675,,609,,719,1745,93%,1%,6%,0%,0%,6%
SETTLEMENT RD (PAPAKURA),DOMINION RD RAB,FAIRDALE AVE,E1774933  N5896099,Both,2018/3/13,6252,5971,5786,4751,487,,476,,491,1745,93%,1%,4%,1%,1%,6%
SETTLEMENT RD (PAPAKURA),LAURIE AVE,SCOTT RD,E1773904  N5895981,Both,2018/3/13,16619,15089,12240,10289,1258,,1180,,1248,1745,85%,1%,11%,2%,1%,14%
TUAKAU RD,RAY WRIGHT RD,BUCKLAND RD,E1770044  N5877595,Both,2018/3/2,5266,4800,3937,3332,523,,418,,531,1745,88%,3%,7%,1%,1%,9%
TUHIMATA RD,BUSH RD,RUNCIMAN RD,E1771839  N5885855,Both,2018/3/2,364,340,285,276,46,,41,,47,1530,84%,3%,12%,1%,0%,13%
WAIHOEHOE RD (RUNCIMAN) (SR),FITZGERALD RD,APPLEBY RD,E1774320  N5891701,Both,2018/3/3,2036,1968,1969,1627,189,,170,,200,1530,90%,2%,7%,1%,0%,8%
WAIUKU RD,ATTEWELL RD,TRAMWAY RD,E1765625  N5878324,Both,2018/3/1,9553,8888,7949,6501,955,,795,,979,1530,89%,2%,8%,1%,0%,9%
WAIUKU RD,BALDHILL RD,MASTERS RD,E1756273  N5875954,Both,2018/3/1,6080,5712,5087,4500,604,,518,,643,1530,87%,2%,11%,0%,0%,11%
WAIUKU RD,BALDHILL RD,TITI RD,E1760443  N5879285,Both,2018/3/1,7510,7006,6259,5234,736,,615,,794,1530,88%,2%,8%,1%,1%,10%
WAIUKU RD,DOMAIN RD,FOY RD,E1767244  N5879697,Both,2018/3/1,10319,9610,8637,7039,977,,852,,1048,1530,89%,2%,7%,1%,1%,9%
WAIUKU RD,MORLEY RD SLIP (POWERPOLE RHS),BARRIBALL RD,E1757495  N5877579,Both,2018/3/1,5967,5629,5136,4434,569,,484,,662,1530,92%,2%,6%,0%,0%,6%
WAIUKU RD,WALLER RD,START PASSING LANE (POWERPOLE LHS),E1762571  N5878467,Both,2018/3/1,7591,7107,6417,5375,727,,682,,816,1530,92%,2%,5%,1%,0%,6%
WEST ST (PUKEKOHE),FAUSETT AVE,HELVETIA RD RAB,E1768341  N5880970,Both,2018/3/2,10883,10337,10123,7819,867,,958,,1020,1530,92%,2%,4%,1%,1%,6%
WHANGAPOURI RD,SH 22,MANUWAI LANE,E1769771  N5890096,Both,2018/3/1,507,468,400,340,57,,49,,58,1815,85%,3%,11%,1%,0%,12%
WILLIS RD,LAURIE AVE,SCOTT RD,E1773850  N5896527,Both,2018/3/13,5637,5237,4482,3988,470,,384,,500,1815,96%,1%,3%,0%,0%,3%
WILY RD,WAIUKU RD,CITY BOUNDARY,E1763561  N5878036,Both,2018/3/1,899,834,770,571,94,,103,,100,1815,88%,3%,8%,0%,1%,9%
WORDSWORTH RD,BEDLINGTON AVE,ROWANDALE AVE RAB,E1766822  N5900907,Both,2018/3/14,7370,6917,6093,5476,720,,547,,760,1815,97%,1%,2%,0%,0%,2%
WORDSWORTH RD,BEESTON CRES (SOUTH),BEESTON CRES (NORTH),E1767577  N5900572,Both,2018/3/14,5918,5570,5130,4272,530,,416,,563,1815,97%,1%,2%,0%,0%,2%
ALBANY EXPRESSWAY,COLISEUM DR,ALBANY HIGHWAY,E1751840  N5933854,Both,2018/4/5,19844,19607,19892,18141,1531,,1729,,1804,,89%,1%,6%,3%,1%,10%
CENTREWAY RD 525 to 909 m,WEITI RD,RIVERSIDE RD,E1751569  N5949095,Both,2018/3/8,9357,8653,7607,6181,1138,,766,,1010,,94%,1%,3%,2%,0%,5%
GRAND DR (OREWA) 887 to 2110 m,MAIRE RD,SH1A RAB,E1749136  N5949514,Both,2018/3/15,12565,11733,10218,9086,992,,912,,1217,,93%,1%,4%,1%,1%,6%
MATAKANA RD 400 to 2906 m,URBAN_RURAL,GOLF RD,E1748884  N5972057,Both,2018/3/15,9204,8964,9287,7440,808,,992,,854,,91%,2%,4%,2%,1%,7%
RED BEACH RD 0 to 520 m,MAIN RD (S.H.1) 2,BAY ST 2,E1751688  N5947731,Both,2018/3/15,10341,11033,13367,12161,1501,,1241,,1507,,95%,1%,4%,0%,0%,4%
FRED TAYLOR DR,BAKERS LANE,DUNLOP RD,E1743073  N5923913,Both,2018/4/4,10879,10472,10285,8625,744,,932,,1001,,90%,1%,7%,1%,1%,9%
CLARENCE ST (EAST),VICTORIA RD,BARTLEY TCE,E1760190  N5922460,Both,2018/4/4,3496,3379,3191,2979,115,,378,,353,,96%,0%,2%,2%,0%,4%
FLEET ST (DEVONPORT),VICTORIA RD,BARTLEY TCE,E1760291  N5922540,Both,2018/4/5,3801,3675,3291,3433,150,,374,,380,,95%,0%,2%,3%,0%,5%
FLORENCE AVE,MAIN RD (S.H.1) 2,ALICE AVE,E1751579  N5949785,Both,2018/4/4,4036,3781,3489,2799,370,,410,,416,,95%,0%,4%,1%,0%,5%
GULF VIEW RD,VAUGHAN CRES,MONTGOMERY RD,E1756443  N5933855,Both,2018/4/5,1605,1537,1583,1152,185,,179,,185,,97%,0%,2%,1%,0%,3%
HIBISCUS COAST HWAY,START OF MEDIAN,END OF MEDIAN,E1751702  N5949747,Both,2018/4/5,12038,11932,12038,11301,904,,1171,,1170,,92%,1%,4%,3%,0%,7%
JOHN DOWNS DR,LANGANA AVE,VALDESE RISE,E1754441  N5934970,Both,2018/4/5,3012,2866,2612,2388,387,,255,,339,,97%,0%,3%,0%,0%,3%
KEITH MORRIS LANE,TAMARIKI AVE,MOANA AVE,E1751545  N5949528,Both,2018/4/4,957,840,641,457,96,,129,,103,,98%,0%,1%,1%,0%,2%
KITCHENER RD (DEVONPORT),MILFORD RD,SHAKESPEAR RD,E1757438  N5928920,Both,2018/4/4,12532,12182,11410,11204,945,,983,,1013,,97%,0%,2%,1%,0%,3%
KITCHENER RD (DEVONPORT),MILFORD RD,SHAKESPEAR RD,E1757539  N5928897,Both,2018/4/4,11380,10983,10196,9786,932,,924,,918,,96%,0%,3%,1%,0%,4%
LIBRA ST,SUNVUE RD,SOLAR RD,E1745661  N5913610,Both,2018/4/9,1244,1219,1169,1144,120,,97,,119,,99%,0%,1%,0%,0%,1%
MILFORD RD,KITCHENER RD,CHANGE IN WIDTH,E1757660  N5928897,Both,2018/4/4,8045,7756,6898,7171,741,,796,,678,,96%,0%,3%,1%,0%,4%
MOANA AVE (OREWA),MAIN RD (S.H.1) 2,CENTREWAY RD,E1751606  N5949640,Both,2018/4/4,3301,3125,3013,2360,297,,374,,344,,92%,0%,4%,4%,0%,8%
NUFFIELD ST,REMUERA RD,BALM ST,E1758476  N5917948,Both,2018/4/9,5623,5324,4993,4158,401,,498,,468,,97%,0%,2%,1%,0%,3%
QUINLAN ST,MOUNTAIN RD,MOUNTWELL CRES,E1764794  N5914896,Both,2018/4/7,1404,1291,1245,770,198,,49,,154,,83%,0%,9%,8%,0%,17%
QUINLAN ST,MOUNTAIN RD,MOUNTWELL CRES,E1764816  N5914919,Both,2018/4/7,1475,1355,1292,820,209,,54,,163,,78%,0%,10%,12%,0%,22%
WYNYARD ST ,QUEENS PDE,CLARENCE ST,E1760179  N5922368,Both,2018/3/28,1396,1261,1203,646,125,,219,,200,,97%,0%,2%,1%,0%,3%
ABERDEEN RD 467 to 659 m,PETER TCE WWAY,RAE RD,E1757012  N5930907,Both,2018/3/29,3363,3114,2537,2447,368,,381,,456,,94%,1%,4%,1%,0%,5%
ALBANY HIGHWAY (ALBANY) 2161 to 2448 m,AMCOR DRIVEWAY,WIDTH CHANGE,E1751488  N5931195,Both,2018/4/6,18378,17200,15371,13143,1525,,1453,,1717,,93%,1%,3%,2%,1%,6%
ALBANY HIGHWAY (ALBANY) 3125 to 3717 m,APPLEBY RD,ROSEDALE RD,E1751186  N5931992,Both,2018/4/9,21317,19608,16362,14307,1945,,1530,,2143,,94%,1%,3%,2%,0%,5%
ROSEDALE RD 3705 to 4055 m,VANDERBILT PDE,ALBANY HIGHWAY,E1751265  N5932330,Both,2018/4/5,12453,10916,7921,6224,1284,,920,,1292,,94%,0%,4%,1%,0%,5%
GREAT SOUTH RD (RAMARAMA),BOMBAY RD (LIGHTPOLE LHS),MILL RD RAB,E1776096  N5882187,Both,2018/3/11,1556,1461,1315,1131,148,,164,,177,,83%,3%,11%,1%,2%,14%
GREAT SOUTH RD (RAMARAMA),BRIDGE (2ND ABUTMENT),PITT RD (LHS),E1772793  N5890787,Both,2018/3/3,5230,4767,3665,3555,440,,367,,556,,75%,2%,16%,3%,4%,23%
MILL RD (BOMBAY),GREAT SOUTH RD RAB,BOMBAY RD (AT TEE),E1776395  N5882060,Both,2018/3/12,4476,4283,4238,3364,487,,413,,439,,91%,3%,6%,0%,0%,6%
PORCHESTER RD (PAPAKURA),POPES RD (LHS),PORCHESTER BRIDGE (1ST ABUTMENT),E1771308  N5900150,Both,2018/3/14,15680,14770,13460,11530,1597,,1260,,1731,,94%,1%,4%,1%,0%,5%
PORTSMOUTH RD,BOMBAY RD,BARBER RD,E1776395  N5883549,Both,2018/3/3,515,491,442,422,59,,49,,56,1745,88%,3%,8%,1%,0%,9%
REDOUBT RD (MANUKAU HEIGHTS) (SE),MILL RD (AT TEE),TIFFANY CL,E1771303  N5903751,Both,2018/3/14,1836,1772,1673,1552,173,,142,,159,1745,93%,1%,5%,1%,0%,6%
REDOUBT RD (MANUKAU HEIGHTS) (SE),TIFFANY CL,MICHAEL BOSHER WAY,E1771603  N5903735,Both,2018/3/14,1644,1583,1474,1385,165,,124,,151,1745,92%,1%,6%,1%,0%,7%
AIRFIELD RD (ARDMORE) (SR),MILL RD RAB,CORSAIR LANE,E1773607  N5899742,Both,2018/3/14,2776,2568,2063,2029,284,,227,,313,,90%,2%,7%,1%,0%,8%
BEAUMARIS WAY,TULLOCH PL,GLENGOWAN PL,E1770259  N5898861,Both,2018/3/14,5523,5325,5074,4586,432,,423,,473,,94%,1%,5%,0%,0%,5%
BIG BAY RD,GRAHAMS BEACH RD,TEAROE RD (POWERPOLE RHS),E1746681  N5897538,Both,2018/2/19,205,251,380,347,25,,62,,56,1745,86%,5%,7%,1%,1%,9%
BOMBAY RD,SPEED RESTRICTION (LHS),PAPARATA RD (AT TEE),E1776587  N5882737,Both,2018/3/12,592,574,522,535,75,,69,,69,1745,90%,2%,8%,0%,0%,8%
BUCKLAND RD (PUKEKOHE),GEORGE CRES (NORTH),LOGAN RD,E1770907  N5878355,Both,2018/3/2,7265,6841,6421,5143,678,,660,,727,1745,90%,2%,8%,0%,0%,8%
BURTT RD,CHERITON LANE,MCPHERSON RD,E1771762  N5889183,Both,2018/3/3,1879,1677,1312,1032,159,,143,,227,1745,91%,1%,7%,1%,0%,8%
CAPE HILL RD,FRANKLIN RD (AT TEE),ISABELLA DR,E1769190  N5882342,Both,2018/3/2,4230,3994,3722,3086,405,,336,,441,1745,94%,1%,5%,0%,0%,5%
CLEVEDON RD,BUSING AVE,COSGRAVE RD,E1774119  N5897210,Both,2018/3/13,14317,13678,12579,11579,1165,,1221,,1256,1745,93%,2%,4%,1%,0%,5%
PATIKI RD,ROSEBANK RD RAB,TRANSFER STATION ENTRANCE,E1748536  N5918230,Both,2018/4/10,18771,16302,11263,8994,1541,,1483,,1602,,89%,1%,7%,2%,1%,10%
ROSEBANK RD (AVONDALE),CHARANN PL,TIMOTHY PL,E1748984  N5917201,Both,2018/4/10,26808,23492,17231,13174,2287,,2243,,2088,,94%,1%,4%,1%,0%,5%
ROSEBANK RD (AVONDALE),PATIKI RD RAB,MOTORWAY ON-OFF RAMP (START ISLAND),E1748925  N5918061,Both,2018/4/10,17499,14568,8245,6240,1358,,1558,,1597,,86%,1%,8%,3%,2%,13%
SEABREEZE RD,HANDLEY RD,LAKE RD,E1760358  N5924118,Both,2018/4/4,1286,1198,1051,906,117,,195,,415,,95%,1%,3%,1%,0%,4%
KITCHENER RD (DEVONPORT),PIERCE RD,MILFORD RD,E1757749  N5928807,Both,2018/4/4,16517,15688,13471,13760,1549,,1534,,1358,,97%,0%,2%,1%,0%,3%
EBAN AVE,MOORE ST,COMPTON ST,E1754858  N5926400,Both,2018/4/27,2345,2214,1806,1966,312,,206,,269,,98%,0%,2%,0%,0%,2%
FORDYCE AVE,STANSFIELD PL,SUZETTA PL,E1767956  N5914471,Both,2018/4/30,1233,1164,1031,953,149,,102,,135,,95%,1%,3%,1%,0%,4%
FROST RD (THREE KINGS),BRITTON AVE,CARR RD RAB,E1755837  N5913583,Both,2018/4/30,4648,4399,4177,3374,523,,384,,466,,97%,0%,2%,1%,0%,3%
KOTUKU ST,OLD TE ATATU RD,GLORIA AVE,E1746874  N5920404,Both,2018/4/27,1912,1608,859,834,380,,239,,246,,97%,0%,1%,2%,0%,3%
OTAKAU RD,FENWICK AVE,CUL-DE-SAC,E1757366  N5928713,Both,2018/4/27,605,487,176,206,242,,105,,148,,96%,0%,2%,2%,0%,4%
RICHARDSON RD (OWAIRAKA),OWAIRAKA AVE,HENDON AVE,E1752942  N5915347,Both,2018/4/30,10312,9912,9656,8166,894,,802,,837,,96%,0%,3%,1%,0%,4%
SHAKESPEARE RD (TAKAPUNA),STRATFORD RD,WOODBRIDGE LANE,E1757182  N5928657,Both,2018/4/27,14647,13563,10527,11179,1302,,1168,,1243,,97%,0%,2%,1%,0%,3%
